FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,HygieneScore,StructuralScore,ConfidenceInManagementScore,Latitude,Longitude
579118,13/00127/MIXED,Keynsham Food Bank,Distributors/Transporters,7,Broadlands School,St Francis Road,Keynsham,Bristol,BS31 2DY,5,fhrs_5_en-GB,2013-08-09,0,0,0,51.41701700000000,51.41701700000000
584478,13/00151/MIXED,Keynsham Food Bank,Distributors/Transporters,7,Keynsham Methodist Church,Charlton Road,Keynsham,Bristol,BS31 2JA,5,fhrs_5_en-GB,2013-09-10,0,0,0,51.41611200000000,51.41611200000000
584479,13/00152/MIXED,Keynsham Food Bank,Distributors/Transporters,7,St Francis Church,Warwick Road,Keynsham,Bristol,BS31 2QN,5,fhrs_5_en-GB,2013-09-10,0,0,0,51.40772400000000,51.40772400000000
205402,19127/1000/2/000,Keynsham Leisure Centre,Restaurant/Cafe/Canteen,1,Keynsham Leisure Centre  River Terr,Temple Street,Keynsham,Bristol,BS31 1HE,Exempt,fhrs_exempt_en-GB,2014-03-17,"","","",51.41343900000000,51.41343900000000
205662,07/00159/MIXED,Keynsham Masonic Hall,Other catering premises,7841,99 Bath Road,Keynsham,Bristol,Bath And North East Somerset,BS31 1SR,5,fhrs_5_en-GB,2012-06-18,0,5,0,51.41257900000000,51.41257900000000
204490,15498/1400/2/000,Keynsham Methodist Church,Restaurant/Cafe/Canteen,1,Charlton Road,Keynsham,Bristol,Bath And North East Somerset,BS31 2JA,5,fhrs_5_en-GB,2012-02-02,5,5,0,51.41611200000000,51.41611200000000
205386,10/00354/MIXED,Keynsham Park Cafe,Other catering premises,7841,Pavilion,Keynsham Memorial Park,Keynsham,Bath And North East Somerset,BS31 1DG,5,fhrs_5_en-GB,2014-02-24,5,5,5,51.41545800000000,51.41545800000000
204831,15946/1100/2/000,Keynsham Rugby Club,Other catering premises,7841,Bristol Road,Keynsham,Bristol,Bath And North East Somerset,BS31 2BE,5,fhrs_5_en-GB,2011-05-05,5,5,5,51.41832100000000,51.41832100000000
205621,15461/1100/2/000,Keynsham Snooker And Social Centre,Other catering premises,7841,Keynsham Snooker Centre  River Terr,Temple Street,Keynsham,Bristol,BS31 1HE,4,fhrs_4_en-GB,2014-04-09,5,5,10,51.41343900000000,51.41343900000000
203980,05860/2100/2/000,KFC,Restaurant/Cafe/Canteen,1,Kentucky Fried Chicken,1 - 2 Cambridge House,Henry Street,City Centre,BA1 1JS,4,fhrs_4_en-GB,2013-06-18,0,10,10,51.37955100000000,51.37955100000000
205384,10/00321/MIXED,KFC Drive Through Restaurant,Restaurant/Cafe/Canteen,1,KFC,Ashmead Road,Keynsham,"",BS31 1SX,5,fhrs_5_en-GB,2013-06-24,5,0,0,51.41344400000000,51.41344400000000
204561,03810/1100/3/C01,Kiddlywinks,Hospitals/Childcare/Caring Premises,5,Oldfield Park Infants School,Dorset Close,Twerton,Bath,BA2 3RF,5,fhrs_5_en-GB,2014-04-23,5,5,0,51.38127200000000,51.38127200000000
